"species","order","site","longitude","latitude","count","adult_body_mass","gestation_length","litter_size","max_longevity","sexual_maturity_age","diet_breadth"
"sp_016","Cetartiodactyla","fb_1020",-3.22817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_103",7.27182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_101",6.27182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1035",4.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_104",7.77182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1036",4.77182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1037",5.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_102",6.77182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_017","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_102",6.77182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1023",-1.72817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1007",-9.72817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_101",6.27182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1027",0.271820509000072,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1024",-1.22817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1038",5.77182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_103",7.27182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_104",7.77182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_022","Eulipotyphla","fb_1039",6.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1040",6.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1038",5.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1036",4.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1035",4.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1037",5.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_026","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1038",5.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1020",-3.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1010",-8.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1035",4.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1021",-2.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1019",-3.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1007",-9.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1023",-1.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1008",-9.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1017",-4.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1027",0.271820509000072,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
