"site";"species";"longitude";"latitude";"count";"sla";"n_mass";"wood_dens"
"PA_113492913010661";"acer_pensylvanicum";-77,902098;40,386062;1;25,2665021666667;2,221025493;0,44
"PA_68280140010538";"acer_pensylvanicum";-76,88071;41,47882;1;25,2665021666667;2,221025493;0,44
"PA_68282954010538";"acer_pensylvanicum";-78,7949;41,74227;3;25,2665021666667;2,221025493;0,44
"PA_68289345010538";"acer_pensylvanicum";-77,82581;41,68362;3;25,2665021666667;2,221025493;0,44
"PA_76864918010538";"acer_pensylvanicum";-77,32039;40,98946;1;25,2665021666667;2,221025493;0,44
"PA_222095516010661";"acer_pensylvanicum";-78,60508;39,91707;1;25,2665021666667;2,221025493;0,44
"PA_58310743010538";"acer_pensylvanicum";-77,51961;40,56655;4;25,2665021666667;2,221025493;0,44
"PA_113492325010661";"acer_pensylvanicum";-75,390171;41,447768;7;25,2665021666667;2,221025493;0,44
"PA_122562082010661";"acer_pensylvanicum";-78,52034;40,31027;3;25,2665021666667;2,221025493;0,44
"PA_122562156010661";"acer_pensylvanicum";-78,83852;40,32939;2;25,2665021666667;2,221025493;0,44
"PA_222095230010661";"acer_pensylvanicum";-78,88391;40,62176;1;25,2665021666667;2,221025493;0,44
"PA_222095490010661";"acer_pensylvanicum";-78,22077;40,59888;1;25,2665021666667;2,221025493;0,44
"PA_10792086010661";"acer_pensylvanicum";-76,36078;40,75009;1;25,2665021666667;2,221025493;0,44
"PA_113492511010661";"acer_pensylvanicum";-76,116867;41,36543;6;25,2665021666667;2,221025493;0,44
"PA_145020091010661";"acer_pensylvanicum";-76,95474;41,446944;2;25,2665021666667;2,221025493;0,44
"PA_122562286010661";"acer_pensylvanicum";-78,89666;41,81873;4;25,2665021666667;2,221025493;0,44
"PA_247104738010661";"acer_pensylvanicum";-77,26945;40,70988;2;25,2665021666667;2,221025493;0,44
"PA_113492331010661";"acer_pensylvanicum";-75,532761;41,253171;2;25,2665021666667;2,221025493;0,44
"PA_222095526010661";"acer_pensylvanicum";-77,636833;41,653904;1;25,2665021666667;2,221025493;0,44
"PA_10805460010661";"acer_pensylvanicum";-77,05525;41,69452;4;25,2665021666667;2,221025493;0,44
"PA_145020101010661";"acer_pensylvanicum";-77,244342;41,243821;3;25,2665021666667;2,221025493;0,44
"PA_10714266010661";"acer_pensylvanicum";-78,52752;40,86117;1;25,2665021666667;2,221025493;0,44
"PA_10799204010661";"acer_pensylvanicum";-76,44411;41,41674;3;25,2665021666667;2,221025493;0,44
"PA_122562170010661";"acer_pensylvanicum";-79,29045;39,81992;5;25,2665021666667;2,221025493;0,44
"PA_76865298010538";"acer_pensylvanicum";-77,52917;40,9374;2;25,2665021666667;2,221025493;0,44
"PA_58315937010538";"acer_pensylvanicum";-76,7968;41,53346;4;25,2665021666667;2,221025493;0,44
"PA_145021337010661";"acer_pensylvanicum";-78,368547;40,139786;3;25,2665021666667;2,221025493;0,44
"PA_222095306010661";"acer_pensylvanicum";-78,64591;41,3862;2;25,2665021666667;2,221025493;0,44
"PA_58244080010538";"acer_pensylvanicum";-78,03754;40,62689;1;25,2665021666667;2,221025493;0,44
"PA_10692037010661";"acer_pensylvanicum";-78,4164;40,55562;6;25,2665021666667;2,221025493;0,44
"PA_68308403010538";"acer_pensylvanicum";-78,67712;40,1754;1;25,2665021666667;2,221025493;0,44
"PA_68318937010538";"acer_pensylvanicum";-75,50947;41,99365;9;25,2665021666667;2,221025493;0,44
"PA_122562404010661";"acer_pensylvanicum";-79,11191;41,67137;1;25,2665021666667;2,221025493;0,44
"PA_68311832010538";"acer_pensylvanicum";-76,24639;41,66496;3;25,2665021666667;2,221025493;0,44
"PA_145020475010661";"acer_pensylvanicum";-78,466536;41,216938;9;25,2665021666667;2,221025493;0,44
"PA_247104641010661";"acer_pensylvanicum";-78,24564;40,51892;7;25,2665021666667;2,221025493;0,44
"PA_247104744010661";"acer_pensylvanicum";-77,532225;40,572654;10;25,2665021666667;2,221025493;0,44
"PA_10797465010661";"acer_pensylvanicum";-79,16642;40,08341;2;25,2665021666667;2,221025493;0,44
"PA_10799270010661";"acer_pensylvanicum";-76,41633;41,36119;14;25,2665021666667;2,221025493;0,44
"PA_122562182010661";"acer_pensylvanicum";-78,24671;41,69899;1;25,2665021666667;2,221025493;0,44
"PA_58316256010538";"acer_pensylvanicum";-76,94129;41,54785;5;25,2665021666667;2,221025493;0,44
"PA_10797859010661";"acer_pensylvanicum";-76,69412;41,50008;1;25,2665021666667;2,221025493;0,44
"PA_247104634010661";"acer_pensylvanicum";-77,76954;41,65477;1;25,2665021666667;2,221025493;0,44
"PA_58311258010538";"acer_pensylvanicum";-77,56476;40,50716;4;25,2665021666667;2,221025493;0,44
"PA_247104745010661";"acer_pensylvanicum";-77,56476;40,50716;2;25,2665021666667;2,221025493;0,44
"PA_58247931010538";"acer_pensylvanicum";-77,45297;40,46019;1;25,2665021666667;2,221025493;0,44
"PA_122561620010661";"acer_pensylvanicum";-76,98559;40,31247;2;25,2665021666667;2,221025493;0,44
"PA_145021253010661";"acer_pensylvanicum";-78,733988;40,690076;2;25,2665021666667;2,221025493;0,44
"PA_247104674010661";"acer_pensylvanicum";-77,32525;41,80429;3;25,2665021666667;2,221025493;0,44
"PA_122562428010661";"acer_pensylvanicum";-79,51434;40,97817;2;25,2665021666667;2,221025493;0,44
"PA_58259412010538";"acer_pensylvanicum";-77,25201;40,52077;2;25,2665021666667;2,221025493;0,44
"PA_222095286010661";"acer_pensylvanicum";-78,55722;41,83456;1;25,2665021666667;2,221025493;0,44
"PA_145020483010661";"acer_pensylvanicum";-78,449139;40,933821;6;25,2665021666667;2,221025493;0,44
"PA_58559143010538";"acer_pensylvanicum";-77,695029;40,195373;2;25,2665021666667;2,221025493;0,44
"PA_122561238010661";"acer_pensylvanicum";-75,09335;41,71042;3;25,2665021666667;2,221025493;0,44
"PA_10814517010661";"acer_pensylvanicum";-79,19421;41,66673;9;25,2665021666667;2,221025493;0,44
"PA_222095540010661";"acer_pensylvanicum";-77,60931;41,33106;2;25,2665021666667;2,221025493;0,44
"PA_68279514010538";"acer_pensylvanicum";-77,26483;41,40329;1;25,2665021666667;2,221025493;0,44
"PA_68320660010538";"acer_pensylvanicum";-76,96259;41,63968;26;25,2665021666667;2,221025493;0,44
"PA_10700309010661";"acer_pensylvanicum";-78,72196;40,50007;3;25,2665021666667;2,221025493;0,44
"PA_76852556010538";"acer_pensylvanicum";-78,31794;41,04244;1;25,2665021666667;2,221025493;0,44
"PA_145021255010661";"acer_pensylvanicum";-78,919232;40,382562;5;25,2665021666667;2,221025493;0,44
"PA_10799841010661";"acer_pensylvanicum";-75,86075;41,9723;5;25,2665021666667;2,221025493;0,44
"PA_113492701010661";"acer_pensylvanicum";-76,857305;41,33195;1;25,2665021666667;2,221025493;0,44
"PA_68286000010538";"acer_pensylvanicum";-76,4493;40,7543;1;25,2665021666667;2,221025493;0,44
"PA_10811034010661";"acer_pensylvanicum";-79,05532;41,77784;8;25,2665021666667;2,221025493;0,44
"PA_247104751010661";"acer_pensylvanicum";-77,68448;40,27981;1;25,2665021666667;2,221025493;0,44
"PA_168997568010661";"acer_pensylvanicum";-77,91295;40,29935;1;25,2665021666667;2,221025493;0,44
"PA_58340277010538";"acer_pensylvanicum";-79,51434;40,97817;2;25,2665021666667;2,221025493;0,44
"PA_247104757010661";"acer_pensylvanicum";-77,73248;40,07539;4;25,2665021666667;2,221025493;0,44
"PA_145021261010661";"acer_pensylvanicum";-78,570138;41,949307;5;25,2665021666667;2,221025493;0,44
"PA_222095302010661";"acer_pensylvanicum";-78,47375;41,37033;2;25,2665021666667;2,221025493;0,44
"PA_58561295010538";"acer_pensylvanicum";-77,795239;40,28634;2;25,2665021666667;2,221025493;0,44
"PA_168997682010661";"acer_pensylvanicum";-77,82581;41,68362;4;25,2665021666667;2,221025493;0,44
"PA_247104770010661";"acer_pensylvanicum";-76,94129;41,54785;3;25,2665021666667;2,221025493;0,44
"PA_76870509010538";"acer_pensylvanicum";-77,25201;40,52077;4;25,2665021666667;2,221025493;0,44
"PA_113492379010661";"acer_pensylvanicum";-75,681489;41,886916;1;25,2665021666667;2,221025493;0,44
"PA_58546543010538";"acer_pensylvanicum";-78,50955;40,521548;2;25,2665021666667;2,221025493;0,44
"PA_113492945010661";"acer_pensylvanicum";-77,378396;41,974073;1;25,2665021666667;2,221025493;0,44
"PA_222095344010661";"acer_pensylvanicum";-78,74509;40,22234;3;25,2665021666667;2,221025493;0,44
"PA_247104526010661";"acer_pensylvanicum";-79,37134;39,97695;1;25,2665021666667;2,221025493;0,44
"PA_168997688010661";"acer_pensylvanicum";-77,83752;41,62124;8;25,2665021666667;2,221025493;0,44
"PA_58564307010538";"acer_pensylvanicum";-77,730028;40,399634;3;25,2665021666667;2,221025493;0,44
"PA_68321426010538";"acer_pensylvanicum";-77,38051;41,81178;1;25,2665021666667;2,221025493;0,44
"PA_68275159010538";"acer_pensylvanicum";-77,72053;40,37781;1;25,2665021666667;2,221025493;0,44
"PA_168997528010661";"acer_pensylvanicum";-77,40067;41,20474;2;25,2665021666667;2,221025493;0,44
"PA_58317861010538";"acer_pensylvanicum";-78,51108;41,90722;1;25,2665021666667;2,221025493;0,44
"PA_58543351010538";"acer_pensylvanicum";-78,368547;40,139786;3;25,2665021666667;2,221025493;0,44
"PA_10806528010661";"acer_pensylvanicum";-76,94413;41,05564;2;25,2665021666667;2,221025493;0,44
"PA_168997192010661";"acer_pensylvanicum";-76,4493;40,7543;1;25,2665021666667;2,221025493;0,44
"PA_10688975010661";"acer_pensylvanicum";-78,36085;40,08341;14;25,2665021666667;2,221025493;0,44
"PA_122561668010661";"acer_pensylvanicum";-76,7968;41,53346;7;25,2665021666667;2,221025493;0,44
"PA_247104566010661";"acer_pensylvanicum";-78,83852;40,32939;1;25,2665021666667;2,221025493;0,44
"PA_68321488010538";"acer_pensylvanicum";-77,42494;41,74618;5;25,2665021666667;2,221025493;0,44
"PA_58547562010538";"acer_pensylvanicum";-76,515142;41,87148;1;25,2665021666667;2,221025493;0,44
"PA_113493239010661";"acer_pensylvanicum";-78,210907;41,95505;2;25,2665021666667;2,221025493;0,44
"PA_145020519010661";"acer_pensylvanicum";-79,208147;39,724369;1;25,2665021666667;2,221025493;0,44
"PA_58317974010538";"acer_pensylvanicum";-78,24671;41,69899;1;25,2665021666667;2,221025493;0,44
"PA_247105172010661";"acer_pensylvanicum";-78,963738;41,512422;1;25,2665021666667;2,221025493;0,44
"PA_222095582010661";"acer_pensylvanicum";-77,65558;40,70436;3;25,2665021666667;2,221025493;0,44
"PA_145020627010661";"acer_pensylvanicum";-78,658487;41,758863;1;25,2665021666667;2,221025493;0,44
"PA_168997532010661";"acer_pensylvanicum";-77,56217;41,21904;3;25,2665021666667;2,221025493;0,44
"PA_247104492010661";"acer_pensylvanicum";-78,58236;41,77705;1;25,2665021666667;2,221025493;0,44
"PA_247105173010661";"acer_pensylvanicum";-79,111213;41,504596;3;25,2665021666667;2,221025493;0,44
